0.000000000000000000e+00 -0.000000000000000000e+00
0.000000000000000000e+00 -0.000000000000000000e+00
1.000000000000000021e-03 -1.457009607853317520e-11
2.000000000000000042e-03 -4.355624121716258514e+02
2.015625000000000056e-03 -4.389938902810919785e+02
2.031250000000000069e-03 -4.423732741482948541e+02
2.046875000000000083e-03 -4.457759681841415613e+02
2.064062499999999925e-03 -4.495192491666559818e+02
2.082968749999999751e-03 -4.536331080265060223e+02
2.103765624999999733e-03 -4.581540462632973458e+02
2.126642187499999670e-03 -4.631307419677362986e+02
