0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000021e-03 1.100000000000000066e-03
2.000000000000000042e-03 2.200000000000000133e-03
2.015625000000000056e-03 2.217187500000000842e-03
2.031250000000000069e-03 2.234374999999998949e-03
2.046875000000000083e-03 2.251562499999999224e-03
2.064062499999999925e-03 2.270468749999998617e-03
2.082968749999999751e-03 2.291265624999998599e-03
2.103765624999999733e-03 2.314142187499999403e-03
2.126642187499999670e-03 2.339306406249999117e-03
